Periode;M01AB;M01AE;N02BA;N02BE;N05B;N05C;R03;R06
1;0;3.67;3.4;32.4;7;0;0;2
2;8;4;4.4;50.6;16;0;20;4
3;2;1;6.5;61.85;10;0;9;1
4;4;3;7;41.1;8;0;3;0
5;5;1;4.5;21.7;16;2;6;2
6;0;0;0;0;0;0;0;0
7;5.33;3;10.5;26.4;19;1;10;0
8;7;1.68;8;25;16;0;3;2
9;5;2;2;53.3;15;2;0;2
10;5;4.34;10.4;52.3;14;0;1;0.2
11;2;0.66;2.5;12;8;0;1;1
12;7.34;7.66;6.2;52;9;0;7;1
13;6;1.33;12.3;33.7;6;1;0;2
14;4;2.34;5;26.7;12;2;3;3
15;6;2;4.3;28.3;19;1;5;0
16;2;3.68;8.3;20.4;15;0;6;3
17;1;5.33;5.8;43.2;15;4;7;2
18;4.33;4;4;14.1;4;0;1;1
19;6;3.34;3.3;11.9;18;2;12;3
20;2;3.34;4;42;15;2;0;1
21;7;3;7;18.1;10;0;5;2
22;4;4.67;5.2;26.2;2;3;1;3
23;4.67;7.34;7;19.6;13;1;0;0
24;6;9;5;37.8;18;0;5;1
25;4.33;1.68;0;24;4;0;0;0
26;4.34;4.67;1.2;23.6;17;2;1;3
27;6;3.34;2.8;13.38;22;5;1;5
28;5.33;4;2;14;10;1;1;2
29;3.02;1.34;2.4;25.5;7;1;3;2
30;1;2.68;7.1;26.9;9;0;1;0
31;4.33;4.32;5;43;13;1;14;0
32;7;3;0.2;13.5;6;2;8;0
33;5;1;8.5;32.4;16;1;1;0
34;1.33;3;7;30.6;8;1;17;2
35;3;4.02;6.2;32.4;15;1;1;1
36;3.33;6.68;3.5;41.4;17;2;5;2
37;2.66;8.67;11.7;21.4;19;1;0;0
38;3.33;3.35;14.4;37.1;13;1;1;1
39;4;3;2;31.5;10;0;6;0
40;5;10.33;8.5;40.1;20;3;3;1
41;10;6.99;13.3;44.6;20;2;6;2.2
42;9;1.67;9.1;73.6;9;0;5;0
43;4.33;3.67;10;49.1;13;3;0;1
44;4;4.01;3.2;42.3;13;4;0;6
45;1;2.34;2;37;9;0;1;5
46;0;1.68;1.2;34;5;2;3;1
47;7.34;4;12.7;27;13;1;7;0
48;7.34;7.36;6.1;45;14;0;13;5
49;3.33;5.02;5.5;66.8;17;1;6;1
50;7;7.02;3.2;21.5;16;3;8;1
51;6;4.34;9;25.4;17;0;0;0
52;7;3.17;5.7;26;12;0;1;0
53;1;3.34;2;21;10;0;0;0
54;7;4.68;5.5;26.5;4;0;0;3
55;5;1.68;11.2;34.5;13;0;0;2
56;5;4.01;1;34;5;0;12;1
57;3;6.34;4;33.2;8;1;2;1
58;7;7.36;5.3;37;12;1;2;0
59;6.34;3.68;11.355;50.7;8;0;0;2.1
60;3.34;1;2;6.6;2;0;0;1
61;4;3.68;1.6;22.1;1;2;0;2.2
62;5.34;7.02;7.2;47.275;9;0;5;4
63;3.34;1;3;25;4;0;1;0
64;3;2;5.5;44.1;17;1;5;1
65;4;4.34;9.5;25;3;1;0;2
66;4.34;3.07;1;27.6;11;0;0;0
67;1;0;4;11.3;3;0;5;0
68;6.68;5.35;3.8;47;11;0;0;2
69;6;5.7;7;30.4;12;1;1;5
70;6.34;2.68;6.5;19.6;22;3;2;2
71;2.31;4.36;5.3;15.5;10;0;26;2
72;4.34;1.68;1.2;16;11;0;1;2
73;4;2;11;23.3;18;1;6;2
74;2.68;2;1.4;13;6;0;0;4
75;8.68;3.34;7;37;6;1;0;1
76;8;4;5;20.1;9;0;0;4
77;4;3.02;4;21.8;2;0;0;2
78;3;5.34;1.6;38.2;5;0;7;4.2
79;6;3.68;4.5;40;4;0;2;1
80;3.34;2.34;0;26.3;10;2;18;8.4
81;6.34;2;4;19.4;0;1;0;3
82;5.68;1;4;23.6;7;0;6;3.5
83;4;1.34;9;38.6;7;0;1;1
84;2.34;3.99;9;6.7;7;3;3;0
85;4;0.33;2;20.7;6;1;1;5
86;2.67;2;8;11;3;0;9;5
87;4;6.33;4.2;24;8;2;9;3
88;3;2.34;0;12;4;0;0;7
89;5.34;2.34;4;15.4;6;1;4;6
90;4.34;1.34;6.5;27.5;5;3;3;1
91;2;4.68;8.9;23;1;0;7;3
92;1;1.34;3;19.2;4;0;0;4
93;3;3.67;3;24;9;3;8;2
94;2;7.68;10;25.6;5;0;5;3
95;2;1;1;19;1;0;0;1
96;6.34;6;6.5;31.5;4;0;0;1
97;4.34;2.34;1.7;19;6;1;0;4.7
98;6;1.02;1;18;2;1;2;2.6
99;3.33;1.68;1;18;10;0;4;4
100;6;4;3;25;2;2;0;2
101;7.02;3.34;6;23.5;19;0;11;4
102;3;2;2;6;3;0;5;2
103;1.34;4.68;5.35;28.28;10;0;5;5
104;4.34;3;6.4;18.7;12;0;10;1
105;2;1.01;4.2;25.62;1;0;6;4
106;5.34;0.34;7.2;16;19;0;0;0
107;7;7;8;23.3;10;1;0;5
108;7.34;3.35;4;22.3;7;0;3;5
109;0;0;0;0;0;0;0;0
